batch-id,duration,o-CRA,c-MinimiseClasslessFeatures,solutions-found,solution-model
0,00:00:31.367,-3.166666666666667,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-04097469E.xmi
1,00:00:22.770,-1.8833333333333333,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-105F434CA.xmi
2,00:00:22.314,-2.47,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-2456286F1.xmi
3,00:00:23.944,-2.6999999999999997,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-37300B21A.xmi
4,00:00:23.210,-2.5833333333333335,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-45E017284.xmi
5,00:00:24.254,-3.083333333333333,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-54D61BD39.xmi
6,00:00:22.970,-1.8263888888888886,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-65D540F00.xmi
7,00:00:23.717,-2.0666666666666673,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-7307844CB.xmi
8,00:00:23.018,-2.0214285714285714,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-866A42E87.xmi
9,00:00:23.510,-2.34,0.0,1,/home/andrei/eclipse-workspace/mde_optimiser/case_studies/cra/mdeo-results/experiment-cra_rulegen.mopt-200423-112646-matching-henshin/batch-962917456.xmi
